threat,pat,gap_2026,gap_2027,category,gap_magnitude_2027
DDoS,RL,-0.0011356712111087464,-0.001471962303841982,SNG,0.001471962303841982
DDoS,PF,-0.0002642045321296499,-0.0004811568368530324,SNG,0.0004811568368530324
Botnet,BT,-0.5176897392649863,-0.4527587506662774,SWG,0.4527587506662774
Botnet,BH,-0.5184316582141468,-0.45272621597401613,SWG,0.45272621597401613
Botnet,HP,-0.5173945778515545,-0.45212770662430063,SWG,0.45212770662430063
Botnet,RC,-0.5153745325700632,-0.44993073205048145,SWG,0.44993073205048145
Botnet,GM,-0.5153220144579709,-0.44978557380285716,SWG,0.44978557380285716
Botnet,PT,-0.5141561812804885,-0.4486275967929138,SWG,0.4486275967929138
Botnet,BC,-0.5129953992781833,-0.4472132010474956,SWG,0.4472132010474956
Botnet,SDN,-0.5135387723906929,-0.4464333401596022,SWG,0.4464333401596022
Botnet,RL,-0.5119591201701947,-0.4458075929212048,SWG,0.4458075929212048
Botnet,PF,-0.5110876534912157,-0.4448167874542159,SWG,0.4448167874542159
Botnet,AD,-0.510854480941562,-0.4448041113137708,SWG,0.4448041113137708
Botnet,GT,-0.5099837554230836,-0.4432905050026789,SWG,0.4432905050026789
Account Hijacking,LP,-0.4641906611274929,-0.411213468546463,SWG,0.411213468546463
Account Hijacking,CR,-0.46246406772364484,-0.4094072934185807,SWG,0.4094072934185807
Account Hijacking,PT,-0.46162419925933623,-0.40840608017994334,SWG,0.40840608017994334
Account Hijacking,SM,-0.4612168745119398,-0.40780169728893484,SWG,0.40780169728893484
Account Hijacking,AC,-0.4608875827029655,-0.40755691860511406,SWG,0.40755691860511406
Account Hijacking,MFA,-0.4589675516952671,-0.40717573223616643,SWG,0.40717573223616643
Account Hijacking,AD,-0.45832249892040977,-0.4045825947008003,SWG,0.4045825947008003
Trojan,SMF,-0.44070707830886924,-0.38881481846931826,SWG,0.38881481846931826
Trojan,CR,-0.4390433659999874,-0.38853277336947195,SWG,0.38853277336947195
Trojan,PT,-0.4382034975356788,-0.3875315601308346,SWG,0.3875315601308346
Trojan,BBD,-0.4373232859993844,-0.3848477377597612,SWG,0.3848477377597612
Trojan,AD,-0.43490179719675226,-0.3837080746516916,SWG,0.3837080746516916
Trojan,FV,-0.43551782575490827,-0.383643399560571,SWG,0.383643399560571
Trojan,GT,-0.43403107167827387,-0.3821944683405998,SWG,0.3821944683405998
Session Hijacking,CR,-0.4284811180234649,-0.3726613990106327,SWG,0.3726613990106327
Session Hijacking,PT,-0.4276412495591563,-0.37166018577199544,SWG,0.37166018577199544
Session Hijacking,SAT,-0.4278590408011806,-0.371272157203926,SWG,0.371272157203926
Session Hijacking,SM,-0.4272339248117599,-0.3710558028809869,SWG,0.3710558028809869
Session Hijacking,AD,-0.4243395492202298,-0.36783670029285237,SWG,0.36783670029285237
Session Hijacking,CA,-0.4227898205252423,-0.366047602750926,SWG,0.366047602750926
